"","Program","Year","Period","Week.Ending","Geo.Level","State","State.ANSI","Ag.District","Ag.District.Code","County","County.ANSI","Zip.Code","Region","watershed_code","Watershed","Commodity","Data.Item","Domain","Domain.Category","Use","Chemical_Name","Chemical_Code","Value","CV...."
"1","SURVEY",2023,"YEAR",NA,"STATE","CALIFORNIA",6,"",NA,"",NA,NA,NA,0,NA,"STRAWBERRIES","STRAWBERRIES - APPLICATIONS, MEASURED IN LB","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (OXATHIAPIPROLIN = 128111)","FUNGICIDE","(OXATHIAPIPROLIN",128111," (D)",""
"2","SURVEY",2023,"YEAR",NA,"STATE","CALIFORNIA",6,"",NA,"",NA,NA,NA,0,NA,"STRAWBERRIES","STRAWBERRIES - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CYCLANILIPROLE = 26202)","INSECTICIDE","(CYCLANILIPROLE",26202," (D)",""
"3","SURVEY",2023,"YEAR",NA,"STATE","CALIFORNIA",6,"",NA,"",NA,NA,NA,0,NA,"STRAWBERRIES","STRAWBERRIES - APPLICATIONS, MEASURED IN LB","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (PERMETHRIN = 109701)","INSECTICIDE","(PERMETHRIN",109701," (D)",""
"4","SURVEY",2023,"YEAR",NA,"STATE","CALIFORNIA",6,"",NA,"",NA,NA,NA,0,NA,"STRAWBERRIES","STRAWBERRIES - APPLICATIONS, MEASURED IN LB","CHEMICAL, OTHER","CHEMICAL, OTHER: (ISARIA FUMOSOROSEA STRAIN FE 9901 = 115003)","OTHER","(ISARIA FUMOSOROSEA STRAIN FE 9901",115003," (NA)",""
"5","SURVEY",2023,"YEAR",NA,"STATE","CALIFORNIA",6,"",NA,"",NA,NA,NA,0,NA,"STRAWBERRIES","STRAWBERRIES - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (OXATHIAPIPROLIN = 128111)","FUNGICIDE","(OXATHIAPIPROLIN",128111," (D)",""
"6","SURVEY",2023,"YEAR",NA,"STATE","CALIFORNIA",6,"",NA,"",NA,NA,NA,0,NA,"STRAWBERRIES","STRAWBERRIES - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CYCLANILIPROLE = 26202)","INSECTICIDE","(CYCLANILIPROLE",26202," (D)",""
"7","SURVEY",2023,"YEAR",NA,"STATE","CALIFORNIA",6,"",NA,"",NA,NA,NA,0,NA,"STRAWBERRIES","STRAWBERRIES - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (PERMETHRIN = 109701)","INSECTICIDE","(PERMETHRIN",109701," (D)",""
"8","SURVEY",2023,"YEAR",NA,"STATE","CALIFORNIA",6,"",NA,"",NA,NA,NA,0,NA,"STRAWBERRIES","STRAWBERRIES - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","CHEMICAL, OTHER","CHEMICAL, OTHER: (ISARIA FUMOSOROSEA STRAIN FE 9901 = 115003)","OTHER","(ISARIA FUMOSOROSEA STRAIN FE 9901",115003," (NA)",""
"9","SURVEY",2023,"YEAR",NA,"STATE","CALIFORNIA",6,"",NA,"",NA,NA,NA,0,NA,"STRAWBERRIES","STRAWBERRIES - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (OXATHIAPIPROLIN = 128111)","FUNGICIDE","(OXATHIAPIPROLIN",128111," (D)",""
"10","SURVEY",2023,"YEAR",NA,"STATE","CALIFORNIA",6,"",NA,"",NA,NA,NA,0,NA,"STRAWBERRIES","STRAWBERRIES - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (CYCLANILIPROLE = 26202)","INSECTICIDE","(CYCLANILIPROLE",26202," (D)",""
"11","SURVEY",2023,"YEAR",NA,"STATE","CALIFORNIA",6,"",NA,"",NA,NA,NA,0,NA,"STRAWBERRIES","STRAWBERRIES - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","CHEMICAL, INSECTICIDE","CHEMICAL, INSECTICIDE: (PERMETHRIN = 109701)","INSECTICIDE","(PERMETHRIN",109701," (D)",""
